Time (s),Temp. (Cel),Displacement (m),Load (N),Displacement Rate (m/s),Strain,Strain Rate (1/s),Stress (Pa)
326.0,24.7312488555908,5.979756116867069e-07,-0.02100292129775284,0.000239501953125,5.521473792121024e-05,0.022114677112188362,-1613.1275958335516
329.0,24.7315635681152,6.12643122673035e-07,-0.020856751077842715,1.7601013183593777e-05,5.6569078732505534e-05,0.0016252089735543651,-1601.901004442605
332.0,24.7268486022949,5.78673243522644e-07,-0.020850943268346776,-4.0763854980468784e-05,5.3432432458231205e-05,-0.0037639755291291577,-1601.4549361249444
335.0,24.7243328094482,5.13937830924988e-07,-0.020754361547470054,-7.76824951171878e-05,4.74550167059084e-05,-0.007172898902787423,-1594.036985212754
338.0,24.7215042114258,6.18307948112488e-07,-0.020511770934724786,0.000125244140625,5.709214664011892e-05,0.01156455592105263,-1575.4048336962203
341.0,24.7218189239502,5.65989375114441e-07,-0.020411974343454837,-6.27822875976564e-05,5.2261253473170906e-05,-0.005797071800337617,-1567.7399649350875
344.0,24.7240200042725,5.316952466964719e-07,-0.020280641627192533,-4.1152954101562494e-05,4.9094667284992786e-05,-0.003799903425813711,-1557.6529667582593
347.0,24.7249622344971,5.75602412223816e-07,-0.02000262431175711,5.26885986328125e-05,5.314888386184819e-05,0.004865059892226454,-1536.2998703346475
350.0,24.7265338897705,5.750874280929569e-07,-0.019997176567745197,-6.179809570312499e-07,5.310133223388337e-05,-5.706195355782547e-05,-1535.8814568160674
353.0,24.7243328094482,5.10599970817566e-07,-0.019896447079539324,-7.73849487304686e-05,4.714681170983988e-05,-0.007145424628852133,-1528.1449369845873
355.0,24.7246475219727,6.27310633659363e-07,-0.019647581039786366,0.00021007919311523458,5.7923419543800824e-05,0.01939789410112969,-1509.03080182691
358.0,24.7255916595459,5.512455701827999e-07,-0.01979680714013581,-9.1278076171875e-05,5.0899867976251144e-05,-0.008428261881059556,-1520.4920998568211
361.0,24.7252769470215,3.94823908805847e-07,-0.019837213969326035,-0.00018770599365234357,3.645650127477811e-05,-0.01733204004176764,-1523.595542958989
364.0,24.7202472686768,6.191281080245969e-07,-0.01937438369185332,0.0002691650390625,5.716787701058143e-05,0.024853650882963988,-1488.0479026001015
367.0,24.7167892456055,5.942562818527219e-07,-0.01943719758316279,-2.9846191406249996e-05,5.487130949701956e-05,-0.0027558810162742376,-1492.872318215268
370.0,24.7145900726318,5.333737134933469e-07,-0.019555614703750647,-7.305908203124999e-05,4.924965036873009e-05,-0.006745990953947367,-1501.9673351575
373.0,24.7098751068115,5.577114820480349e-07,-0.0191284203878045,2.9205322265625e-05,5.149690508292104e-05,0.0026967056570290854,-1469.1567118129417
376.0,24.7083034515381,6.8725860118866e-07,-0.019054402380913465,0.00015545654296874998,6.345878127319114e-05,0.014354251428324097,-1463.4717650471173
379.0,24.7061023712158,4.900006055831909e-07,-0.019204252750641096,-0.0002367095947265628,4.524474659124569e-05,-0.021856841618334514,-1474.9810100338784
382.0,24.6976146697998,6.68528437614441e-07,-0.018974368474733858,0.0002142333984375,6.17293109523953e-05,0.0197814772333795,-1457.3247676446897
384.0,24.690071105957,5.962589979171749e-07,-0.019075876546096788,-0.0001300849914550782,5.505623249466065e-05,-0.01201154122392227,-1465.1210864897687
387.0,24.6925868988037,6.400707960128779e-07,-0.019018145657140065,5.257415771484378e-05,5.9101643214485494e-05,0.004854492863789822,-1460.6870704408652
390.0,24.6891288757324,4.3308532238006595e-07,-0.019094394199562117,-0.000248382568359375,3.9989411115426214e-05,-0.022934678518871186,-1466.543333299702
393.0,24.6866130828857,6.778935194015499e-07,-0.01869002195627689,0.00029376983642578143,6.259404611279315e-05,0.027125561996840387,-1435.4855573177335
396.0,24.687557220459,5.388859510421749e-07,-0.01892462566192149,-0.00016680908203125,4.9758628905094635e-05,-0.015402500649238227,-1453.5042751091776
399.0,24.6866130828857,5.353382825851441e-07,-0.018799518103784368,-4.2572021484374995e-06,4.9431051023559e-05,-0.0003930934578427977,-1443.8953996762189
402.0,24.6847286224365,6.432560682296749e-07,-0.018485241726487876,0.0001295013427734378,5.939575883930516e-05,0.011957649378895456,-1419.7574290697294
406.0,24.6840991973877,1.9286242723465e-06,-0.01765938126994375,0.001156831398010254,0.0001780816502628347,0.10681730360205484,-1356.3272864780147
410.0,24.6730976104736,3.63688583374023e-05,0.009671216278159618,0.030996210937499998,0.0033581586645800828,2.8620693386426588,742.7969491674055
414.0,24.6671257019043,7.15924453735352e-05,0.03683826927770372,0.031701229248046865,0.006610567439846278,2.927167982275795,2829.360159577859
419.0,24.6664962768555,0.000107270767211914,0.06460270131042008,0.025688389892578135,0.009904964654839704,2.3719658257228193,4961.805016161296
423.0,24.6561241149902,0.00014249430847167998,0.09100069652161599,0.0317011962890625,0.01315736920329455,2.927164938971606,6989.300808111828
427.0,24.6495227813721,0.00017798214721679697,0.11791561015882525,0.03193905029296877,0.016434177951689468,2.9491274508743093,9056.49847610025
431.0,24.6407222747803,0.00021355722045898398,0.14449047234148973,0.032017565917968775,0.019719041593627328,2.9563772777441155,11097.578520851746
436.0,24.6350631713867,0.000248215835571289,0.1700282149971963,0.024954204711914035,0.02291928306290757,2.3041740269542044,13059.002687956707
440.0,24.6281490325928,0.00028292352294921895,0.19559364996194886,0.031236906738281275,0.026124055673981433,2.8842942509955005,15022.553760518347
444.0,24.6209182739258,0.000317653350830078,0.22116052518863638,0.03125685424804686,0.02933087265282345,2.886136126320116,16986.21545227622
448.0,24.623119354248,0.000353193939208984,0.2468813213954921,0.03198652954101564,0.03261255209685909,2.9535114996320995,18961.699031911838
452.0,24.6168327331543,0.000387818023681641,0.27168743904466647,0.03116166870117186,0.03580960514142576,2.877347063820116,20866.93080220173
457.0,24.6130599975586,0.00042411395263671896,0.2978074870830539,0.02613307067871096,0.039161029791017446,2.4130259167784818,22873.078885027182
461.0,24.6099166870117,0.000458730773925781,0.3221548345438002,0.031155128173828137,0.04235741218151255,2.876743137010908,24743.07484975424
465.0,24.5986003875732,0.000494028533935547,0.34712785423526726,0.031767989501953135,0.04561666980014284,2.933332363984592,26661.125517301636
469.0,24.5929431915283,0.000528905578613281,0.3716319470859532,0.031389342041015636,0.04883708020436574,2.8983695328730965,28543.16029846031
474.0,24.5872859954834,0.00056513427734375,0.3966266642299648,0.02608467590332032,0.05218229707698522,2.4085573317931965,30462.87743701727
478.0,24.5765972137451,0.00060052001953125,0.42090349496994034,0.03184715698242186,0.05544967862707756,2.940642380648371,32327.457370963162
482.0,24.5665397644043,0.000635787170410156,0.44478995861110654,0.03174042114257814,0.058706109917835265,2.930786809102321,34162.05519286533
486.0,24.561824798584,0.000670700500488281,0.46877768950061766,0.03142199340820314,0.06192987077454118,2.9013844328904095,36004.43083722102
491.0,24.553337097168,0.0007060223999023439,0.49255806008071934,0.02543177673339846,0.06519135733170303,2.3482711665187863,37830.88019053144
495.0,24.5451641082764,0.0007409281005859379,0.5161103455432894,0.031415126953125,0.06841441371984652,2.90075041118421,39639.81148565971
499.0,24.5363636016846,0.0007762186889648439,0.5396258949741367,0.031761533203125,0.07167300913802806,2.9327362145083096,41445.921272975174
503.0,24.5291347503662,0.000811780334472656,0.5635138175819401,0.032005480957031276,0.07495663291529601,2.955261399541207,43280.63115068665
506.99999999999994,24.5178184509277,0.0008463218383789059,0.5861865706190111,0.031087375488281273,0.07814606079214274,2.8704871180315115,45022.010032182116
512.0,24.512788772583,0.000881872863769531,0.6098767845428472,0.02559672180175782,0.08142870394917183,2.3635015514088473,46841.53491112498
516.0,24.504301071167,0.0009165087280273439,0.632480666872787,0.031172259521484363,0.08462684469319888,2.8783249788997565,48577.62418377781
520.0,24.4958152770996,0.00095131005859375,0.6551509134799961,0.031321193847656276,0.08784026395140812,2.892076994243423,50318.81055913949
